Lower Bound	Approximation	Operations	Indels	Reversals	Transpositions
36	3.0277777777777777	109	60	49	0
38	3.0789473684210527	117	68	49	0
37	2.945945945945946	109	65	44	0
34	3.0588235294117645	104	65	39	0
36	2.9444444444444446	106	59	47	0
37	3.0	111	70	38	3
35	2.942857142857143	103	66	37	0
39	2.9743589743589745	116	71	45	0
33	3.0303030303030303	100	63	37	0
39	3.0	117	70	46	1
37	2.918918918918919	108	60	48	0
36	2.9444444444444446	106	61	45	0
37	2.945945945945946	109	61	47	1
36	3.0	108	68	39	1
35	3.0	105	55	50	0
37	2.972972972972973	110	65	45	0
38	3.0	114	65	49	0
36	2.9722222222222223	107	61	46	0
38	3.026315789473684	115	73	41	1
38	3.026315789473684	115	67	48	0
40	3.0	120	71	49	0
37	3.0	111	58	53	0
37	3.0	111	60	51	0
36	3.0555555555555554	110	64	46	0
36	2.9444444444444446	106	68	38	0
37	2.972972972972973	110	62	48	0
37	3.027027027027027	112	63	49	0
36	3.0	108	63	44	1
35	2.942857142857143	103	60	42	1
32	3.03125	97	57	40	0
36	3.0277777777777777	109	65	44	0
36	2.9722222222222223	107	61	46	0
35	3.0	105	60	45	0
36	2.9722222222222223	107	62	45	0
35	3.057142857142857	107	68	39	0
36	2.9444444444444446	106	63	43	0
35	3.0	105	63	42	0
32	3.0	96	55	41	0
37	3.0	111	58	52	1
32	3.03125	97	53	44	0
37	2.972972972972973	110	62	47	1
37	3.0	111	64	47	0
36	3.0277777777777777	109	66	43	0
38	2.973684210526316	113	60	53	0
37	3.0	111	62	49	0
37	3.0	111	72	39	0
35	3.0285714285714285	106	64	42	0
35	3.0	105	66	39	0
38	2.973684210526316	113	63	49	1
35	3.0	105	65	40	0
37	3.027027027027027	112	61	51	0
33	2.9696969696969697	98	61	37	0
35	3.057142857142857	107	68	39	0
37	2.945945945945946	109	57	52	0
36	3.0833333333333335	111	63	48	0
36	2.9722222222222223	107	64	43	0
36	2.9722222222222223	107	58	49	0
36	3.0277777777777777	109	60	49	0
36	2.9722222222222223	107	62	45	0
35	2.9714285714285715	104	59	45	0
35	2.942857142857143	103	57	46	0
38	3.0	114	69	45	0
37	3.0	111	65	46	0
35	3.0285714285714285	106	61	45	0
37	2.972972972972973	110	66	43	1
36	2.9444444444444446	106	62	43	1
36	3.0	108	67	41	0
37	3.0	111	61	50	0
38	3.0	114	78	35	1
36	3.0277777777777777	109	57	52	0
37	3.054054054054054	113	71	42	0
38	2.9210526315789473	111	65	46	0
37	3.027027027027027	112	64	48	0
