Lower Bound	Approximation	Operations	Indels	Reversals	Transpositions
16	3.0	48	34	14	0
15	3.1333333333333333	47	28	19	0
18	2.8333333333333335	51	34	17	0
18	3.0	54	35	19	0
17	2.7058823529411766	46	33	13	0
17	2.823529411764706	48	37	10	1
17	2.764705882352941	47	29	18	0
15	3.066666666666667	46	31	15	0
17	2.764705882352941	47	30	17	0
19	2.736842105263158	52	36	16	0
17	2.9411764705882355	50	35	12	3
19	2.6315789473684212	50	32	18	0
17	2.764705882352941	47	33	14	0
17	2.9411764705882355	50	29	21	0
16	2.9375	47	32	15	0
19	2.8421052631578947	54	40	14	0
18	2.7222222222222223	49	37	12	0
16	2.9375	47	29	18	0
18	2.9444444444444446	53	35	17	1
17	2.823529411764706	48	31	17	0
17	2.8823529411764706	49	33	14	2
16	2.8125	45	32	12	1
17	2.588235294117647	44	32	11	1
19	2.736842105263158	52	37	15	0
17	3.0	51	35	16	0
19	2.8947368421052633	55	34	21	0
18	2.9444444444444446	53	35	18	0
18	2.9444444444444446	53	36	17	0
19	2.789473684210526	53	35	18	0
17	2.9411764705882355	50	36	13	1
18	2.888888888888889	52	35	16	1
18	2.8333333333333335	51	38	8	5
18	2.9444444444444446	53	44	8	1
17	2.764705882352941	47	33	14	0
19	2.8421052631578947	54	35	19	0
17	2.823529411764706	48	35	13	0
17	2.7058823529411766	46	34	12	0
19	2.8421052631578947	54	34	19	1
18	2.9444444444444446	53	34	19	0
17	3.0	51	42	3	6
18	2.888888888888889	52	40	10	2
17	2.823529411764706	48	34	14	0
17	2.8823529411764706	49	30	19	0
19	2.789473684210526	53	38	15	0
17	2.823529411764706	48	34	14	0
19	2.9473684210526314	56	40	16	0
17	2.8823529411764706	49	36	12	1
19	3.0526315789473686	58	39	19	0
17	2.6470588235294117	45	34	11	0
17	3.0	51	34	16	1
18	2.7777777777777777	50	38	9	3
17	3.0	51	32	19	0
18	2.888888888888889	52	35	17	0
17	2.9411764705882355	50	31	19	0
17	2.8823529411764706	49	33	16	0
17	2.823529411764706	48	31	17	0
18	2.7777777777777777	50	31	19	0
18	2.7777777777777777	50	35	15	0
16	2.8125	45	31	14	0
18	2.7777777777777777	50	31	17	2
15	2.8	42	31	11	0
17	2.823529411764706	48	31	17	0
18	2.7777777777777777	50	36	13	1
18	3.0555555555555554	55	37	16	2
17	2.823529411764706	48	33	15	0
17	2.764705882352941	47	29	18	0
16	2.875	46	34	12	0
19	2.789473684210526	53	41	11	1
17	2.8823529411764706	49	34	15	0
18	2.611111111111111	47	34	12	1
17	2.8823529411764706	49	35	14	0
18	2.8333333333333335	51	30	20	1
16	2.875	46	28	18	0
18	2.888888888888889	52	36	15	1
17	2.823529411764706	48	36	12	0
17	2.823529411764706	48	34	14	0
18	2.7777777777777777	50	34	15	1
17	3.0588235294117645	52	38	13	1
16	2.6875	43	28	15	0
20	2.7	54	35	18	1
18	2.7222222222222223	49	36	13	0
18	2.888888888888889	52	33	19	0
19	2.736842105263158	52	34	18	0
16	2.875	46	29	17	0
19	2.8947368421052633	55	34	21	0
15	3.0	45	30	14	1
18	3.0555555555555554	55	39	14	2
19	2.8421052631578947	54	38	12	4
15	2.933333333333333	44	29	15	0
16	2.9375	47	31	16	0
17	2.8823529411764706	49	33	16	0
20	2.75	55	43	11	1
17	2.823529411764706	48	32	16	0
17	3.0	51	36	15	0
19	2.8421052631578947	54	37	16	1
19	2.789473684210526	53	38	15	0
16	2.9375	47	29	18	0
18	2.888888888888889	52	37	14	1
18	2.7222222222222223	49	32	17	0
17	2.8823529411764706	49	34	15	0
16	2.9375	47	32	15	0
18	2.888888888888889	52	36	14	2
16	2.9375	47	34	12	1
16	2.8125	45	30	15	0
18	2.7222222222222223	49	37	11	1
18	2.8333333333333335	51	34	16	1
17	3.1176470588235294	53	34	19	0
19	2.9473684210526314	56	37	19	0
17	2.9411764705882355	50	37	13	0
18	3.0555555555555554	55	40	15	0
16	2.875	46	29	17	0
17	3.0588235294117645	52	37	11	4
17	2.8823529411764706	49	32	17	0
17	2.823529411764706	48	31	17	0
17	2.823529411764706	48	33	15	0
18	2.888888888888889	52	38	13	1
18	3.0	54	35	19	0
18	2.8333333333333335	51	36	14	1
17	2.8823529411764706	49	34	15	0
17	2.7058823529411766	46	32	14	0
