50	5	7	3	6.703	3.5	1.3333333333333333	2.4285
50	25	48	29	39.175	3.4166666666666665	2.6153846153846154	3.039919379231879
50	50	66	47	56.734	3.411764705882353	2.823529411764706	3.0911365865644505
100	10	23	14	19.662	3.2857142857142856	2.4285714285714284	2.9027380952380955
100	50	95	66	79.265	3.36	2.9166666666666665	3.138803755413058
100	100	129	100	116.521	3.3783783783783785	2.972972972972973	3.163889412028286
150	15	38	26	32.694	3.4	2.7	2.9764217171717173
150	75	138	102	123.159	3.3684210526315788	3.0	3.185787763274658
150	150	192	159	176.082	3.358490566037736	3.0535714285714284	3.1944545959856714
200	20	46	31	39.743	3.3636363636363638	2.6923076923076925	3.0088955211455213
200	100	185	143	164.292	3.3653846153846154	3.0588235294117645	3.211360253925188
200	200	256	214	235.175	3.3378378378378377	3.090909090909091	3.211811318661565
250	25	60	43	53.12	3.3529411764705883	2.7777777777777777	3.0533570230723868
250	125	227	181	205.141	3.359375	3.0952380952380953	3.2255545041323446
250	250	327	273	295.388	3.32967032967033	3.097826086956522	3.2231108605832297
300	30	74	57	66.507	3.380952380952381	2.8636363636363638	3.084247468968865
300	150	271	228	249.654	3.36	3.1153846153846154	3.2403336553533926
300	300	382	326	355.812	3.330357142857143	3.1339285714285716	3.2295737038448
350	35	82	64	73.837	3.347826086956522	2.9130434782608696	3.102402273885535
350	175	316	266	291.209	3.3626373626373627	3.146067415730337	3.2485506260482393
350	350	443	391	414.899	3.3359375	3.13953488372093	3.237022331364567
400	40	96	73	87.379	3.3214285714285716	2.8275862068965516	3.1256579163684335
400	200	369	303	331.987	3.3636363636363638	3.1634615384615383	3.256443189275269
400	400	505	451	475.341	3.335616438356164	3.143835616438356	3.240909599567639
450	45	113	88	101.271	3.3333333333333335	2.966666666666667	3.144973492845161
450	225	411	352	377.028	3.353448275862069	3.142857142857143	3.2619013467419937
450	450	566	508	535.654	3.331288343558282	3.1538461538461537	3.2433970242555623
500	50	119	97	108.618	3.323529411764706	2.9705882352941178	3.1517423040994554
500	250	448	385	418.311	3.384	3.1653543307086616	3.2653032246439126
500	500	627	562	595.297	3.3206521739130435	3.17032967032967	3.2482336971227195
